contract_number,completed_contract_count,seed,template_id,node_depth,boss_variant_id,boss_variant_label,monster_name,hp,base_hp_before_contract_scaling,contract_hp_multiplier,contract_dps_multiplier,duration_sec,hp_budget_duration_sec,target_dps,required_dps,effective_hp,mitigation_multiplier,pressure_status,archetype_ids,mechanic_ids,defense_overrides,budget,total_cost,budget_delta,major_defense_count
1,0,91001,hourglass_detour,4,chrono_tyrant,Chrono Tyrant,Devious Enemy,1125,1125,1.0,1.0,48.0,48.0,24.4735,30.6875,1473,1.309,slightly_over,devious;arcane,cleanse_threshold;interrupt_skip_count;slow,"{""cleanse_threshold"":4.0,""interrupt_skip_count"":2.0,""slow"":0.25}",228,282,54,2
1,0,91002,elite_orbit,4,apex_bulwark,Apex Bulwark,Shielded Gatekeeper,539,539,1.0,1.0,37.0,37.0,26.8589,38.4595,1423,2.64,over_band,aegis;fortified,block;armor,"{""armor"":120.0,""block"":10.0}",228,176,-52,1
1,0,91003,elite_orbit,4,plague_court,Plague Court,Spiteful Threat,634,634,1.0,1.0,31.0,31.0,25.028,30.871,957,1.51,slightly_over,spiteful;hexed,cleanse_threshold;suppress;slow,"{""cleanse_threshold"":5.0,""slow"":0.15,""suppress"":0.45}",228,200,-28,2
1,0,91004,elite_orbit,4,void_regent,Void Regent,Dimming Vessel,1218,1218,1.0,1.0,49.0,49.0,31.2393,44.3469,2173,1.784,over_band,nullify;warded,absorb;poison_resistance;suppress,"{""absorb"":7.0,""poison_resistance"":0.35,""suppress"":0.44}",228,264,36,1
1,0,91005,elite_orbit,4,chrono_tyrant,Chrono Tyrant,Arcane Monster,1808,1808,1.0,1.0,59.0,59.0,32.4218,40.661,2399,1.327,slightly_over,devious;arcane,cleanse_threshold;interrupt_skip_count;slow,"{""cleanse_threshold"":4.0,""interrupt_skip_count"":3.0,""slow"":0.25}",228,385,157,2
1,0,91006,braided_sideboard,4,apex_bulwark,Apex Bulwark,Braced Enemy,573,573,1.0,1.0,36.0,36.0,29.1121,41.6944,1501,2.62,over_band,aegis;fortified,block;armor,"{""armor"":120.0,""block"":9.0}",228,178,-50,1
1,0,91007,five_way_market,3,apex_bulwark,Apex Bulwark,Fortified Sentinel,838,838,1.0,1.0,57.0,57.0,26.2693,37.6316,2145,2.56,over_band,aegis;fortified,block;armor,"{""armor"":120.0,""block"":6.0}",228,202,-26,1
1,0,91008,split_spill_rejoin,4,void_regent,Void Regent,Hollow Threat,736,736,1.0,1.0,31.0,31.0,28.0077,39.7742,1233,1.675,over_band,nullify;warded,absorb;poison_resistance;suppress,"{""absorb"":6.0,""poison_resistance"":0.35,""suppress"":0.31}",228,191,-37,0
1,0,91009,split_spill_rejoin,4,chrono_tyrant,Chrono Tyrant,Devious Threat,1023,1023,1.0,1.0,39.0,39.0,28.0016,35.1282,1370,1.339,slightly_over,devious;arcane,interrupt_skip_count;cleanse_threshold;slow,"{""cleanse_threshold"":5.0,""interrupt_skip_count"":3.0,""slow"":0.25}",228,282,54,2
1,0,91010,braided_sideboard,4,apex_bulwark,Apex Bulwark,Fortified Gatekeeper,968,968,1.0,1.0,57.0,57.0,30.8355,44.1579,2517,2.6,over_band,aegis;fortified,block;armor,"{""armor"":120.0,""block"":8.0}",228,224,-4,1
