window,contract_number,build_id,build_label,samples,wins,win_rate,avg_damage,damage_variance,avg_dps,dps_variance,avg_required_dps,avg_required_dps_gap,avg_damage_gap,avg_blocked_damage,avg_absorbed_damage,avg_crit_negated_damage,avg_dodges,avg_cleanses,avg_interrupts,avg_stun_seconds
fixed_30s,1,assassin,Assassin,80,51,0.6375,1040.125,35299.7594,34.6708,39.222,38.3359,-3.665,116.8375,35.9226,36.825,0.0,0.0,0.9875,1.175,0.0
generated_duration,1,assassin,Assassin,80,75,0.9375,1502.0375,229424.9111,34.9273,39.7793,38.3359,-3.4086,578.75,56.7979,51.0125,0.0,0.0,1.5125,1.6875,0.0
fixed_30s,1,blade_dancer,Blade Dancer,80,33,0.4125,823.825,55588.5194,27.4608,61.765,38.3359,-10.875,-99.4625,98.0125,0.0,0.0,0.0,2.9875,0.0,0.0
generated_duration,1,blade_dancer,Blade Dancer,80,56,0.7,1183.2125,144639.1923,27.6957,41.5926,38.3359,-10.6401,259.925,147.875,0.0,0.0,0.0,4.3,0.0,0.0
fixed_30s,1,shadow,Shadow,80,34,0.425,848.65,14174.6525,28.2883,15.7496,38.3359,-10.0475,-74.6375,56.925,36.1375,0.0,0.0,1.6375,0.0,0.0
generated_duration,1,shadow,Shadow,80,80,1.0,1241.6,106984.49,29.0548,18.5765,38.3359,-9.281,318.3125,85.975,50.325,0.0,0.0,2.4125,0.0,0.0
fixed_30s,1,thief,Thief,80,29,0.3625,751.7125,114771.0798,25.0571,127.5234,38.3359,-13.2788,-171.575,64.6875,0.0,0.0,0.0,1.45,2.55,0.0
generated_duration,1,thief,Thief,80,52,0.65,1058.5125,277221.2248,25.0713,131.9567,38.3359,-13.2645,135.225,99.5,0.0,0.0,0.0,1.975,3.775,0.0
fixed_30s,2,assassin,Assassin,80,13,0.1625,997.2,38010.785,33.24,42.2342,54.8617,-21.6217,-506.625,21.3888,38.4,0.0,0.0,1.1625,1.6,0.0
generated_duration,2,assassin,Assassin,80,36,0.45,1544.5125,205898.2998,33.5515,39.1325,54.8617,-21.3102,40.6875,34.0952,60.6125,0.0,0.0,1.975,2.4,0.0
fixed_30s,2,blade_dancer,Blade Dancer,80,5,0.0625,825.1375,44190.7436,27.5046,49.1008,54.8617,-27.3571,-678.6875,57.1625,0.0,0.0,0.0,3.775,0.0,0.0
generated_duration,2,blade_dancer,Blade Dancer,80,30,0.375,1293.6625,228081.3236,27.9789,50.4495,54.8617,-26.8828,-210.1625,87.625,0.0,0.0,0.0,5.7125,0.0,0.0
fixed_30s,2,shadow,Shadow,80,1,0.0125,866.5125,12917.2248,28.8837,14.3525,54.8617,-25.978,-637.3125,33.825,38.0625,0.0,0.0,2.0,0.0,0.0
generated_duration,2,shadow,Shadow,80,29,0.3625,1380.6375,121603.1811,30.1048,14.8994,54.8617,-24.7569,-123.1875,51.475,60.275,0.0,0.0,3.225,0.0,0.0
fixed_30s,2,thief,Thief,80,2,0.025,752.6875,112358.1148,25.0896,124.8423,54.8617,-29.7721,-751.1375,38.4375,0.0,0.0,0.0,1.6875,3.45,0.0
generated_duration,2,thief,Thief,80,32,0.4,1201.9375,407260.6336,26.0164,146.2296,54.8617,-28.8453,-301.8875,59.575,0.0,0.0,0.0,2.6125,5.2875,0.0
fixed_30s,3,assassin,Assassin,80,10,0.125,1017.8375,40612.3861,33.9279,45.1249,75.0763,-41.1484,-844.0125,37.0886,29.3,0.0,0.0,1.1125,1.25,0.0
generated_duration,3,assassin,Assassin,80,24,0.3,1509.175,191071.6694,34.839,40.7473,75.0763,-40.2373,-352.675,57.4278,40.1625,0.0,0.0,1.725,1.95,0.0
fixed_30s,3,blade_dancer,Blade Dancer,80,0,0.0,791.6,42108.79,26.3867,46.7875,75.0763,-48.6896,-1070.25,102.5625,0.0,0.0,0.0,3.325,0.0,0.0
generated_duration,3,blade_dancer,Blade Dancer,80,0,0.0,1160.4875,150124.9248,26.7563,45.0447,75.0763,-48.32,-701.3625,151.4,0.0,0.0,0.0,4.9375,0.0,0.0
fixed_30s,3,shadow,Shadow,80,0,0.0,829.575,12523.6944,27.6525,13.9152,75.0763,-47.4238,-1032.275,59.675,28.7875,0.0,0.0,1.8125,0.0,0.0
generated_duration,3,shadow,Shadow,80,0,0.0,1242.2625,109304.3936,28.6783,17.7398,75.0763,-46.398,-619.5875,88.15,39.65,0.0,0.0,2.775,0.0,0.0
fixed_30s,3,thief,Thief,80,0,0.0,721.9125,106247.7048,24.0637,118.053,75.0763,-51.0126,-1139.9375,67.8125,0.0,0.0,0.0,1.6375,2.7,0.0
generated_duration,3,thief,Thief,80,0,0.0,1056.475,270859.8494,24.6669,125.4956,75.0763,-50.4094,-805.375,101.6625,0.0,0.0,0.0,2.3625,4.1,0.0
