window,contract_number,seed,build_id,build_label,boss_variant_id,archetype_ids,mechanic_ids,hp,duration_ms,target_dps,required_dps,total_damage,dps,is_win,damage_gap,required_dps_gap,blocked_damage,absorbed_damage,crit_negated_damage,dodges,cleanses,interrupts,stuns_ms
generated_duration,1,91001,blade_dancer,Blade Dancer,chrono_tyrant,devious;arcane,cleanse_threshold;interrupt_skip_count;slow,1125,48000,24.4735,30.6875,909.0,18.9375,false,-216.0,-11.75,0.0,0.0,0.0,0,11,0,0
fixed_30s,1,91001,blade_dancer,Blade Dancer,chrono_tyrant,devious;arcane,cleanse_threshold;interrupt_skip_count;slow,1125,30000,24.4735,30.6875,631.0,21.0333,false,-494.0,-9.6542,0.0,0.0,0.0,0,7,0,0
generated_duration,1,91001,assassin,Assassin,chrono_tyrant,devious;arcane,cleanse_threshold;interrupt_skip_count;slow,1125,48000,24.4735,30.6875,1370.0,28.5417,true,245.0,-2.1458,0.0,0.0,0.0,0,3,8,0
fixed_30s,1,91001,assassin,Assassin,chrono_tyrant,devious;arcane,cleanse_threshold;interrupt_skip_count;slow,1125,30000,24.4735,30.6875,798.0,26.6,false,-327.0,-4.0875,0.0,0.0,0.0,0,2,5,0
generated_duration,1,91001,shadow,Shadow,chrono_tyrant,devious;arcane,cleanse_threshold;interrupt_skip_count;slow,1125,48000,24.4735,30.6875,1472.0,30.6667,true,347.0,-0.0208,0.0,0.0,0.0,0,7,0,0
fixed_30s,1,91001,shadow,Shadow,chrono_tyrant,devious;arcane,cleanse_threshold;interrupt_skip_count;slow,1125,30000,24.4735,30.6875,762.0,25.4,false,-363.0,-5.2875,0.0,0.0,0.0,0,4,0,0
generated_duration,1,91001,thief,Thief,chrono_tyrant,devious;arcane,cleanse_threshold;interrupt_skip_count;slow,1125,48000,24.4735,30.6875,614.0,12.7917,false,-511.0,-17.8958,0.0,0.0,0.0,0,3,19,0
fixed_30s,1,91001,thief,Thief,chrono_tyrant,devious;arcane,cleanse_threshold;interrupt_skip_count;slow,1125,30000,24.4735,30.6875,382.0,12.7333,false,-743.0,-17.9542,0.0,0.0,0.0,0,2,12,0
generated_duration,1,91002,blade_dancer,Blade Dancer,apex_bulwark,aegis;fortified,block;armor,539,37000,26.8589,38.4595,1016.0,27.4595,true,477.0,-11.0,470.0,0.0,0.0,0,0,0,0
fixed_30s,1,91002,blade_dancer,Blade Dancer,apex_bulwark,aegis;fortified,block;armor,539,30000,26.8589,38.4595,664.0,22.1333,true,125.0,-16.3261,370.0,0.0,0.0,0,0,0,0
generated_duration,1,91002,assassin,Assassin,apex_bulwark,aegis;fortified,block;armor,539,37000,26.8589,38.4595,1548.0,41.8378,true,1009.0,3.3784,180.54,0.0,0.0,0,0,0,0
fixed_30s,1,91002,assassin,Assassin,apex_bulwark,aegis;fortified,block;armor,539,30000,26.8589,38.4595,1259.0,41.9667,true,720.0,3.5072,131.18,0.0,0.0,0,0,0,0
generated_duration,1,91002,shadow,Shadow,apex_bulwark,aegis;fortified,block;armor,539,37000,26.8589,38.4595,776.0,20.973,true,237.0,-17.4865,270.0,0.0,0.0,0,0,0,0
fixed_30s,1,91002,shadow,Shadow,apex_bulwark,aegis;fortified,block;armor,539,30000,26.8589,38.4595,648.0,21.6,true,109.0,-16.8595,220.0,0.0,0.0,0,0,0,0
generated_duration,1,91002,thief,Thief,apex_bulwark,aegis;fortified,block;armor,539,37000,26.8589,38.4595,653.0,17.6486,true,114.0,-20.8108,310.0,0.0,0.0,0,0,0,0
fixed_30s,1,91002,thief,Thief,apex_bulwark,aegis;fortified,block;armor,539,30000,26.8589,38.4595,408.0,13.6,false,-131.0,-24.8595,250.0,0.0,0.0,0,0,0,0
generated_duration,1,91003,blade_dancer,Blade Dancer,plague_court,spiteful;hexed,cleanse_threshold;suppress;slow,634,31000,25.028,30.871,878.0,28.3226,true,244.0,-2.5484,0.0,0.0,0.0,0,7,0,0
fixed_30s,1,91003,blade_dancer,Blade Dancer,plague_court,spiteful;hexed,cleanse_threshold;suppress;slow,634,30000,25.028,30.871,739.0,24.6333,true,105.0,-6.2376,0.0,0.0,0.0,0,6,0,0
generated_duration,1,91003,assassin,Assassin,plague_court,spiteful;hexed,cleanse_threshold;suppress;slow,634,31000,25.028,30.871,807.0,26.0323,true,173.0,-4.8387,0.0,0.0,0.0,0,3,0,0
