contract_number,completed_contract_count,seed,template_id,node_id,node_type,node_depth,node_lane,monster_name,hp,base_hp_before_contract_scaling,contract_hp_multiplier,contract_dps_multiplier,duration_sec,hp_budget_duration_sec,target_dps,required_dps,effective_hp,mitigation_multiplier,pressure_status,raw_difficulty_id,scale_raw_difficulty_id,scale_monster_difficulty_id,scale_content_difficulty_id,depth_bonus,node_level_bonus,completed_contract_pressure_bonus,archetype_ids,mechanic_ids,defense_overrides,budget,total_cost,budget_delta,major_defense_count
1,0,91001,hourglass_detour,safe,fight,1,0,Bulwark Gatekeeper,421,421,1.0,1.0,29.0,29.0,15.6363,18.931,549,1.304,slightly_over,2,2,2,2,0,0,0,aegis,block;crit_negation,"{""block"":5.0,""crit_negation"":0.34}",118,114,-4,1
1,0,91001,hourglass_detour,pinch_point,captain,2,1,Hollow Vessel,245,245,1.0,1.0,13.0,18.0,15.224,24.7692,322,1.315,over_band,2,2,2,2,0,0,0,nullify,absorb;suppress,"{""absorb"":7.0,""suppress"":0.27}",118,104,-14,0
1,0,91001,hourglass_detour,low_exit,fight,3,0,Warded Monster,331,331,1.0,1.0,12.0,18.0,21.7627,40.25,483,1.458,over_band,3,3,3,2,1,0,0,warded,poison_resistance;absorb,"{""absorb"":6.0,""poison_resistance"":0.35}",154,95,-59,0
1,0,91001,hourglass_detour,boss,boss,4,1,Devious Enemy,1125,1125,1.0,1.0,48.0,48.0,24.4735,30.6875,1473,1.309,slightly_over,3,3,3,2,0,1,0,devious;arcane,cleanse_threshold;interrupt_skip_count;slow,"{""cleanse_threshold"":4.0,""interrupt_skip_count"":2.0,""slow"":0.25}",228,282,54,2
1,0,91001,hourglass_detour,captain_exit,captain,3,1,Arcane Threat,579,579,1.0,1.0,32.0,32.0,21.553,24.1563,773,1.3345,in_band,3,3,3,2,1,0,0,arcane,stun_duration_ms;interrupt_skip_count,"{""interrupt_skip_count"":3.0,""stun_duration_ms"":561.0}",154,190,36,2
1,0,91001,hourglass_detour,elite_exit,elite,3,2,Bulwark Guard,650,650,1.0,1.0,35.0,35.0,35.3271,49.0286,1716,2.64,over_band,4,4,4,2,1,1,0,aegis;fortified,block;armor,"{""armor"":120.0,""block"":10.0}",245,190,-55,1
1,0,91001,hourglass_detour,captain,captain,1,1,Resistant Monster,394,394,1.0,1.0,30.0,30.0,15.8178,17.7333,532,1.35,in_band,2,2,2,2,0,0,0,resistant,poison_resistance,"{""poison_resistance"":0.35}",118,75,-43,0
1,0,91001,hourglass_detour,weird,fight,1,2,Fortified Enemy,246,246,1.0,1.0,32.0,32.0,14.914,18.25,584,2.372,slightly_over,2,2,2,2,0,0,0,fortified,armor;block,"{""armor"":111.0,""block"":2.0}",118,113,-5,1
1,0,91002,elite_orbit,main,fight,1,0,Braced Guard,436,436,1.0,1.0,27.0,27.0,17.9625,21.7037,586,1.344,slightly_over,2,2,2,2,0,0,0,aegis,block;crit_negation,"{""block"":7.0,""crit_negation"":0.34}",118,121,3,1
1,0,91002,elite_orbit,merge_a,fight,2,0,Fortified Monster,129,129,1.0,1.0,16.0,18.0,14.6488,20.0625,321,2.488,over_band,2,2,2,2,0,0,0,fortified,armor;block,"{""armor"":119.0,""block"":3.0}",118,104,-14,1
1,0,91002,elite_orbit,boss,boss,4,1,Shielded Gatekeeper,539,539,1.0,1.0,37.0,37.0,26.8589,38.4595,1423,2.64,over_band,3,3,3,2,0,1,0,aegis;fortified,block;armor,"{""armor"":120.0,""block"":10.0}",228,176,-52,1
1,0,91002,elite_orbit,elite_orbit,elite,2,1,Warded Vessel,560,560,1.0,1.0,22.0,22.0,26.759,36.8182,810,1.446,over_band,3,3,3,2,0,1,0,nullify;warded,absorb;poison_resistance,"{""absorb"":7.0,""poison_resistance"":0.32}",185,125,-60,0
1,0,91002,elite_orbit,merge_b,captain,3,2,Nimble Enemy,441,441,1.0,1.0,28.0,28.0,26.9779,27.1786,761,1.726,in_band,3,3,3,2,1,0,0,nimble,dodge_chance;crit_negation,"{""crit_negation"":0.79,""dodge_chance"":0.18}",154,166,12,1
1,0,91002,elite_orbit,captain,captain,1,1,Nimble Threat,193,193,1.0,1.0,16.0,18.0,17.3801,19.6875,315,1.63,in_band,2,2,2,2,0,0,0,nimble,dodge_chance;crit_negation,"{""crit_negation"":0.7,""dodge_chance"":0.15}",118,124,6,2
1,0,91002,elite_orbit,alternate,fight,1,2,Spiteful Seer,257,257,1.0,1.0,21.0,21.0,15.7073,16.9048,355,1.38,in_band,2,2,2,2,0,0,0,spiteful,cleanse_threshold;suppress,"{""cleanse_threshold"":6.0,""suppress"":0.44}",118,121,3,2
1,0,91003,elite_orbit,main,fight,1,0,Resistant Threat,290,290,1.0,1.0,13.0,18.0,19.4207,30.1538,392,1.35,over_band,2,2,2,2,0,0,0,resistant,poison_resistance,"{""poison_resistance"":0.35}",118,62,-56,0
1,0,91003,elite_orbit,merge_a,fight,2,0,Spiteful Seer,213,213,1.0,1.0,13.0,18.0,15.4135,22.9231,298,1.399,over_band,2,2,2,2,0,0,0,spiteful,cleanse_threshold;suppress,"{""cleanse_threshold"":7.0,""suppress"":0.45}",118,112,-6,2
1,0,91003,elite_orbit,boss,boss,4,1,Spiteful Threat,634,634,1.0,1.0,31.0,31.0,25.028,30.871,957,1.51,slightly_over,3,3,3,2,0,1,0,spiteful;hexed,cleanse_threshold;suppress;slow,"{""cleanse_threshold"":5.0,""slow"":0.15,""suppress"":0.45}",228,200,-28,2
1,0,91003,elite_orbit,elite_orbit,elite,2,1,Nimble Threat,460,460,1.0,1.0,20.0,20.0,26.3629,30.35,607,1.32,slightly_over,3,3,3,2,0,1,0,nimble;devious,dodge_chance;interrupt_skip_count,"{""dodge_chance"":0.19,""interrupt_skip_count"":3.0}",185,168,-17,1
1,0,91003,elite_orbit,merge_b,captain,3,2,Resistant Monster,403,403,1.0,1.0,20.0,20.0,24.3021,27.2,544,1.35,in_band,3,3,3,2,1,0,0,resistant,poison_resistance,"{""poison_resistance"":0.35}",154,76,-78,0
1,0,91003,elite_orbit,captain,captain,1,1,Braced Guard,282,282,1.0,1.0,12.0,18.0,18.1584,32.9167,395,1.402,over_band,2,2,2,2,0,0,0,aegis,block;crit_negation,"{""block"":6.0,""crit_negation"":0.47}",118,109,-9,1
1,0,91003,elite_orbit,alternate,fight,1,2,Nimble Monster,169,169,1.0,1.0,12.0,18.0,14.6248,22.0833,265,1.566,over_band,2,2,2,2,0,0,0,nimble,dodge_chance;crit_negation,"{""crit_negation"":0.64,""dodge_chance"":0.13}",118,113,-5,1
1,0,91004,elite_orbit,main,fight,1,0,Devious Enemy,339,339,1.0,1.0,23.0,23.0,17.8571,18.0,414,1.22,in_band,2,2,2,2,0,0,0,devious,cleanse_threshold;stun_duration_ms,"{""cleanse_threshold"":5.0,""stun_duration_ms"":320.0}",118,124,6,1
1,0,91004,elite_orbit,merge_a,fight,2,0,Bitter Seer,238,238,1.0,1.0,12.0,18.0,15.4124,24.9167,299,1.255,over_band,2,2,2,2,0,0,0,spiteful,cleanse_threshold;slow,"{""cleanse_threshold"":7.0,""slow"":0.19}",118,98,-20,1
1,0,91004,elite_orbit,boss,boss,4,1,Dimming Vessel,1218,1218,1.0,1.0,49.0,49.0,31.2393,44.3469,2173,1.784,over_band,3,3,3,2,0,1,0,nullify;warded,absorb;poison_resistance;suppress,"{""absorb"":7.0,""poison_resistance"":0.35,""suppress"":0.44}",228,264,36,1
1,0,91004,elite_orbit,elite_orbit,elite,2,1,Warded Monster,921,921,1.0,1.0,34.0,34.0,29.0582,39.9706,1359,1.476,over_band,3,3,3,2,0,1,0,nullify;warded,absorb;poison_resistance,"{""absorb"":7.0,""poison_resistance"":0.35}",185,172,-13,0
1,0,91004,elite_orbit,merge_b,captain,3,2,Arcane Threat,362,362,1.0,1.0,13.0,18.0,25.6192,39.7692,517,1.427,over_band,3,3,3,2,1,0,0,arcane,interrupt_skip_count;stun_duration_ms,"{""interrupt_skip_count"":3.0,""stun_duration_ms"":746.0}",154,174,20,2
