id,status,seed_count,monster,rotation,gear,mean_dps,p05_dps,p50_dps,p95_dps,win_rate,mean_physical_damage,mean_poison_damage,mean_poison_ticks,mean_casts,mean_dodges,mean_dodge_rate,mean_blocked_damage,mean_crit_negated_damage,mean_absorbed_damage,mean_cleanses,mean_suppressed_tick_interval_ms,mean_min_cast_proc_rate,notes
baseline_rogue_stab_mouthy,pass,200,Mouthy Drunk,Stab,,13.6875,12.0,13.5,16.5,0.72,164.25,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,
shadow_intrinsic_stab_mouthy,pass,200,Mouthy Drunk,Stab,,18.3541666666666,16.6666666666667,18.1666666666667,21.1666666666667,1.0,164.25,56.0,7.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,
shadow_wyvern_poison_mouthy,pass,200,Mouthy Drunk,Stab > Heavy Slash,Wyvern Kriss,29.6241666666667,27.8666666666667,29.3666666666667,32.8666666666667,1.0,165.09,190.400000000001,17.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,
bandit_blade_gold_scaling,pass,200,Mouthy Drunk,Stab > Heavy Slash,Bandit Blade,27.3,20.4,27.2,34.0,1.0,327.6,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,
bejeweled_proc_rate_training_dummy,pass,200,Training Dummy,Stab > Heavy Slash,Bejeweled Push Dagger,26.3952,22.08,26.4,30.72,1.0,791.856000000001,0.0,0.0,17.905,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.19899338419578,
bladedancer_contract_watchmen,pass,200,Cloaked Watchmen,Heavy Slash > Quick Cut > Rending Slash,Wyvern Kriss,19.6549857302409,17.5942171597633,19.4775969674556,22.620612647929,0.315,359.829628986264,151.200000000001,18.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,
defense_block_stab,pass,200,Mouthy Drunk,Stab,,8.35416666666668,6.66666666666667,8.16666666666667,11.1666666666667,0.01,100.25,0.0,0.0,8.0,0.0,0.0,64.0,0.0,0.0,0.0,1000.0,0.0,
defense_dodge_stab,pass,200,Mouthy Drunk,Stab,,9.075,4.5,9.0,13.5,0.08,108.9,0.0,0.0,8.0,2.78,0.3475,0.0,0.0,0.0,0.0,1000.0,0.0,
defense_crit_negation_bandit,pass,200,Mouthy Drunk,Stab > Heavy Slash,Bandit Blade,20.4000000000001,20.4,20.4,20.4,1.0,244.800000000001,0.0,0.0,6.0,0.0,0.0,0.0,69.0,0.0,0.0,1000.0,0.0,
defense_absorb_suppress_poison,pass,200,Mouthy Drunk,Stab > Heavy Slash,Wyvern Kriss,21.2241666666667,19.4666666666667,20.9666666666667,24.4666666666667,1.0,165.09,89.6000000000001,14.0,6.0,0.0,0.0,0.0,0.0,28.0,0.0,750.0,0.0,
defense_cleanse_poison,pass,200,Mouthy Drunk,Stab > Heavy Slash,,15.7575,14.0,15.5,19.0,1.0,165.09,24.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,3.0,1000.0,0.0,
defense_slow_stab,pass,200,Mouthy Drunk,Stab,,8.61,7.5,9.0,10.5,0.0,103.32,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,
generated_easy_fortified_normal,pass,40,Fortified Threat,Stab,,7.7236392479436,7.70414806110458,7.72466509988249,7.7451821386604,1.0,177.643702702703,0.0,0.0,15.0,0.0,0.0,0.0,51.156,0.0,0.0,1000.0,0.0,
generated_medium_warded_normal,pass,40,Warded Enemy,Stab > Heavy Slash,Wyvern Kriss,16.662,14.032,17.232,19.232,1.0,231.45,18.48,22.0,8.0,0.0,0.0,0.0,0.0,154.0,0.0,500.0,0.0,
generated_hard_nimble_elite,pass,40,Nimble Threat,Stab > Heavy Slash,Bandit Blade,13.1466947368421,8.49852631578947,12.7225263157895,17.3002105263158,0.05,249.7872,0.0,0.0,10.0,2.025,0.2025,0.0,179.244,0.0,0.0,1000.0,0.0,
generated_ultra_hexed_devious,pass,40,Devious Threat,Heavy Slash,Wyvern Kriss,8.66285714285714,7.80571428571429,8.66285714285714,10.3771428571429,0.0,180.0,123.2,11.0,11.0,0.0,0.0,0.0,0.0,0.0,1.0,815.0,0.0,
generated_nightmare_devious_fortified,pass,40,Devious Monster,Heavy Slash > Quick Cut > Rending Slash,Wyvern Kriss,10.7190634192982,10.3802375438596,10.7817815438596,11.0285155087719,0.0,232.9866149,378.0,27.0,27.0,0.0,0.0,143.5,150.765,0.0,9.0,500.0,0.0,
